Area,Title,Description,Priority,Status,Assigned To,Change,Type,Target Date,QE comments,Created by,Created on
Part Sourcing,Excess Confirmation,"For Excess in Sourcing, create an option in 3 dots called Excess Reconfirmation. Upon this action we need to create a Task assigning to the ICP on the record",P1,Done,Shivananda Sai,,Sales,"Mar 11, 2026",,Sai Nagboth,"Mar 2, 2026"
Part Sourcing,No Permissions UI,"When no permissions to view an info pane, show explict message✅",P1,Done,Shivananda Sai,,Sales,,,Sai Nagboth,"Mar 3, 2026"
Part Sourcing,Account Not visible,Apply the account not visible logic only for Sales Entities (or customer account) for all other eneities we need to show the account. ✅,P0,Done,Andrey Kuznetcov,,Sales,,,Sai Nagboth,"Mar 3, 2026"
Part Sourcing,Show ICP in stock,"Need to show the ICP for Stock, who would be the buyer. This should come from xCRM.
For Apex, this should be copied over from PO to Stock. Need to also validate.",P0,Done,"Andrey Kuznetcov,Sandeep Thatikonda",,,,,Sai Nagboth,"Mar 4, 2026"
Part Sourcing,Sourcing,"On Sourcing panel, display ICPs name on the RFQs

Canny Item",P2,Done,Om Sreenivasan,,Sales,,,Satish Bathini,"Mar 3, 2026"
Part Sourcing,Sourcing Screen,"1. On Sourcing screen, on market activity we need to add  entity id and entity type, since they would be needed in some cases as they are tied to excess/internal offers that have ID.  Add it beside  ECCN column and see it all 7 columns can be shown without scroll.
2. Also need to confirm that apart from black labels we are showing the other labels too in the Labels Column",P0,Done,Shivananda Sai,UI,Sales,"Mar 30, 2026",,Dipak Majhi,"Mar 30, 2026"
Part Sourcing,Excess Reconfirmation - 1,"  We need a temp solution for excess confirmation until excess are migrated to Apex. 

1. Capture a form with following information
  1. MPN, MFG, Description
  2. Qty Needed, Target Price, Date Code Year, Date Code Month
  3. Lead Time, LabelsLabels
  4. Due Date
2. Auto create a task with details as below
3. Description - Include Excess info from sourcing table and user entered form
  1. MPN, MFG, Description
  2. Excess Record ID, Excess Date (from sourcing excess offer)
  3. Qty Needed, Target Price, Date Code Year, Date Code Month
  4. Lead Time, LabelsLabels
4. Set the Assigned to as Excess Confirmation Team (should have been created by Sandeep)
5. Default any other values and send the task,",P0,Done,Shivananda Sai,UI,Sales,"Mar 30, 2026",,Sai Nagboth,"Mar 30, 2026"
Part Sourcing,Germany Feedback_1,"* BSP75N is not showing up in Summary in Apex. But, showing in xCRM ✅
* Franchise stock list should be displayed in market activity and not in Stock cc Sai Nagboth this Damon mentioned.  ✅
* Shivananda Sai - – status bar for HK and DE are not of the same size in RFQ/QU - let me know if you are not able to replicate it.  ✅
* We should display Hong Kong Stock ✅",P0,Done,"Andrey Kuznetcov,Shivananda Sai","BE,UI",Sales,,,Om Sreenivasan,"Mar 17, 2026"
Part Sourcing,Offer Info Pane,Show offer Info pane for all offers in sourcing upon default click of the row. ✅,P1,Done,Shivananda Sai,,Sales,,,Sandeep Thatikonda,"Mar 3, 2026"
Part Sourcing,RFQ → Sorucing,"For sourcing that is user RFQ/SR/SO, we need to have an option to see the search MPN and potentially change it. We can probably show a search icon and an icnon in the header bar to expand. Please check with Artsiom if he has any suggestion. ",P1,Done,Shivananda Sai,,,,,Sai Nagboth,"Mar 4, 2026"
Part Sourcing,Sourcing - open market offers,"Supplier names still not showing in sourcing under Market activity- open market offers.

Canny Item",P1,Done,Andrey Kuznetcov,,Sales,,,Satish Bathini,"Mar 5, 2026"
Part Sourcing,,"Supplier names still not showing in sourcing under Market activity- open market offers.

Canny Item



Om - This works for New records. For many others it is empty. Have to see if we need to run migrations again Satish Bathini cc Andrey Kuznetcov ",P0,Done,Satish Bathini,,Data,,,Om Sreenivasan,"Mar 9, 2026"
Part Sourcing,Sourcing Issues Mar 19,"  

1. Purchase activity - not showing supplier info to purchasing.✅
2. Sales activity - Sales is not seeing the pricing column❌
3. Basic Info Pane is not showing Engagement Overview and Account Users. Looks like two things here, when no permissions to view account, backend is not sending any info. But it should be, only name is not visible. Basically
  1. They can see the account type, category, location, Account owner with name blurred✅
  2. Engagement Metrics✅
  3. Account users✅
  4. Supplier Score (if Account type is supplier)✅",P0,Done,"Andrey Kuznetcov,Shivananda Sai","UI,BE",Sales,,,Sai Nagboth,"Mar 18, 2026"
Part Sourcing,,"On Sourcing panel, display ICPs name on the RFQs

Canny Item



Om - This works for NEW records. For many others is is empty. Have to see if we need to run migrations again Satish Bathini cc Andrey Kuznetcov ",P1,Done,Nagababu Guddati,,Data,,,Om Sreenivasan,"Mar 9, 2026"
Part Sourcing,"Basic Info Pane ","Improvements to basic info pane for offers/excess/po and all purchasing entities and access 



https://app.clickup.com/t/8651091/CHP-5573",P0,Done,"Andrey Kuznetcov,Alex Yermakov,Shivananda Sai","BE,UI","Sales,Purchasing","Mar 25, 2026",,Sai Nagboth,"Mar 23, 2026"
Part Sourcing,Tasks & Reconfirmation,"1. For all items on Sourcing, allow tasks to be created via 3 dots with the context of the entity.
2. For xCRM item, just add in description the details of the entity in the description that include Entity ID, Entity Name and ICP.
3. Make the ICP default assignee. 
4. For excess add another option that says “Reconfirm Excess”  it should open up a task with an action called “Excess Reconfirmation” and ICP from he offer pre-selected as assignee. ",P1,Done,Shivananda Sai,UI,Sales,"Mar 26, 2026",,Sai Nagboth,"Mar 24, 2026"
Part Sourcing,,"Sourcing page Under Market Activity there is no option for location - [Canny]

https://chip1.canny.io/apex-1-feedback/p/for-sourcing-page-under-market-activity-there-is-no-option-for-location",P1,Done,Shivananda Sai,,,,,Dipak Majhi,"Apr 9, 2026"
Accounts,,Phone numbers gets deleted after saving (Canny Link),P0,On Production,"Srinivas Sanka,Pranab Dutta,Sandeep Thatikonda","Data,Sync",Sales,,[QE comments 19/05] : Tried by update/create on existing/new phone & email.Patch looks fine,Dipak Majhi,"May 11, 2026"
Accounts,Phone Number,[BUG}: Phone number in General Section (Canny Link),P0,On Production,"Srinidhi Gundimi,Srinivas Sanka,Pranab Dutta","Sync,Data",Sales,"May 22, 2026",,Dipak Majhi,"May 12, 2026"
Accounts,," Account Creation Field Improvement (Canny Link)",P1,On Production,Om Sreenivasan,"BE,UI",Sales,,,Dipak Majhi,"May 11, 2026"
Accounts,,Vat verification permission (Canny Link),P0,On Production,"Alexey Duduk,Andrey Kuznetcov",,Sales,,,Dipak Majhi,"May 11, 2026"
Accounts,,"Allow edit of general section except name for Regular sales users (check Pouya notes). Drive name edit based on seprate permission not the seciton permission - Andrey & Alexey


",P2,On Production,"Andrey Kuznetcov,Alexey Duduk",,Sales,,,Dipak Majhi,"May 17, 2026"
Accounts,SO & PO Data bits,"Expand account to include POs and SOs that are cancelled. ",P1,On Production,Andrey Kuznetcov,BE,Sales,,,Sai Nagboth,"Mar 1, 2026"
Accounts,Account list view,Add Date created - Where can we find at what date any specific account was added in APEX?,P1,Done,Arvind Dhakar,UI,Sales,,18/03: There is a ‘Date Created’ in Accounts list view.,Satish Bathini,"Mar 3, 2026"
Accounts,Account list view - region/country filters,"Accounts filter is not working - country and region

Canny Item",P0,On Production,Andrey Kuznetcov,UI,Sales,,,Satish Bathini,"Mar 3, 2026"
Accounts,Accounts - sorting,"Add option to sort accounts by account potential.

Canny Item",P2,Done,"Tejaswini Allagadda,Alex Yermakov","UI,BE",Sales,,,Satish Bathini,"Mar 5, 2026"
Accounts,All Accounts,"Few tweaks for all accounts

1. Disable micro dashbaord
2. Do not show total in the table
3. The add option in left nav, should be against my accounts vs. all accounts.",P1,Done,Shivananda Sai,UI,Sales,,,Sai Nagboth,"Mar 6, 2026"
Accounts,Reassign Account,"Allow an account to go back to an open pool via FAB in Details or 3 dots in list view. Call it “Reassign Account” 

1. Show a modal with dropdown of users, tags and note (text area)
2. Upon update
  1. Unassign current account owner
  2. Add the new user seleced as account owner",P1,Done,"Arvind Dhakar,Tejaswini Allagadda",UI,Sales,"Mar 13, 2026",,Sai Nagboth,"Mar 8, 2026"
Accounts,Account Details,1. Add Created By / Created Date in General (next to Also Known As)✅,P1,Done,"Om Sreenivasan,Vinay Bajjuri",UI,Sales,,,Sai Nagboth,"Mar 8, 2026"
Accounts,Account Details - Billing Section,"1. Add a sub-section to add various emails for followups
  1. Email Type 
  2. Email Address
2. Email Type has following values
  1. Statement Email
  2. Reminder Email
  3. Overdue Email
3. Online Option
  1. Add a field called credentials in online option that is managed by permissions for visibility. Only Admins and Accounting folks can see.",P1,On Production,"Alex Yermakov,Tejaswini Allagadda","UI,BE",Sales,,,Sai Nagboth,"Mar 8, 2026"
Accounts,Account Creation,"Few changes to account creation

1. Display the + Create Account CTA next to My Accounts in the Left Nav. Currently it is against All Accounts
2. Default Payment term to 100% TT Advance
3. Make the stage as “Prospect” and have it as read-only
4. Account Type should be a mandatory field
5. Role based type selection. 
  1. Purchasing can create supplier accounts
  2. Sales can create Sales accounts
  3. Admin can create any account
6. Sales person should not see buyer and supplier information",P1,On Production,"Arvind Dhakar,Alex Yermakov,Andrey Kuznetcov,Alexey Duduk","UI,BE",Sales,"Mar 30, 2026","UI Done, Backend Pending",Sai Nagboth,"Mar 8, 2026"
Accounts,Approve as Customer validation,Implement validations as per CHP-5555,P0,Done,"Alex Yermakov,Tejaswini Allagadda",BE,Sales,"Mar 30, 2026",,Sai Nagboth,"Mar 8, 2026"
Accounts,FAB Updates,"1. Add FAB actions as per following
  1. Approve for Sales - This should set the approve for sales flag. BE will run validation upon save. So UI should catch the message and display. Show this only if the flag is not set.✅ 
  2. Approve for Purchase - This should set the approve for purchase flag. BE will run validation upon save. So UI should catch the message and display. Show this only if the flag is not set.✅ 
2. Reorganize the fab actions to group update stage and the above 2 into one group and all creates to one group.
3. Remove Sell Excess option from FAB.✅ 
4. Make Approved as Customer and Approved as Supplier read only in Credit and supplier section.- ✅ ",P0,Done,Alex Yermakov,UI,Sales,,,Sai Nagboth,"Mar 12, 2026"
Accounts,Address section,"Have an accordion section to show all addresses in one go. It is easy to consume. Consider addresses

1. Office Address
2. Mail to Address
3. Billing Address (It can be multiple, however only one can be active at a time)
4. Shipping Address
5. VAT verification needed for billing and shipping address (673213793dc405192b028850, ",P1,Done,Alex Yermakov,,Sales,,,Sai Nagboth,"Mar 8, 2026"
Accounts,Validate Default Address Mapping,"Validate if the default addressses are mapped correctly on accounts. Users pointed out some descrepencies. E.g., Turck Bierfield has wrong shipped address mapped.",P0,Done,"Satish Bathini,Srinivas Sanka",Data,Data,,did a preliminary query check and found some 500 addresses are not same compared to xcrm. we will process these records and see it fixed the issue,Sai Nagboth,"Mar 8, 2026"
Accounts,Re-migrate Accounts,Run re-migration of all accounts,P0,Done,Nagababu Guddati,,Data,,,Sai Nagboth,"Mar 10, 2026"
Accounts,Re-migrate Contacts,Run re-migration of all contacts,P0,Done,Nagababu Guddati,,Data,,,Sai Nagboth,"Mar 10, 2026"
Accounts,Default Data Groups,Implement this as per CHP-5564,P0,Done,Tejaswini Allagadda,BE,Sales,,,Sai Nagboth,"Mar 12, 2026"
Accounts,Migrate credit and score info,We need to manually migrate credit and score info for accounts and update in Mongo so it can be used.,P1,Done,"Nagababu Guddati,Srinivas Sanka",Data,Data,,,Sai Nagboth,"Mar 14, 2026"
Accounts,Duplicate Addresses,"Investigate issue on duplicate addresses. This was an example given by Pouya -

SCHROFF GMBH",P0,Done,"Sandeep Thatikonda,Srinidhi Gundimi,Satish Bathini",Data,Data,,,Sai Nagboth,"Mar 13, 2026"
Accounts,Account Credit Sync,Validate that account credit data is coming from xCRM and working as expected,P0,Done,Pranab Dutta,Sync,Sales,"Mar 24, 2026",,Om Sreenivasan,"Mar 16, 2026"
Accounts,Account Data Group,"By default when a new account is created we need to add regional default data group for account of customer as well.



1. Add regional admin group to default group for both supplier and customer accounts.

",P0,Done,Tejaswini Allagadda,BE,Sales,"Mar 26, 2026",,Sai Nagboth,"Mar 24, 2026"
Accounts,,Currently price/cost fields show upto 2 decimal places. We need to change it to 4 decimal places across the platform - All modules,P0,Done,"Vinay Bajjuri,Alexey Duduk,Alex Yermakov",UI,"Sales,Purchasing","Mar 30, 2026",,Dipak Majhi,"Mar 27, 2026"
Accounts,,"1. Account hero in location show city, state vs. location name
2. Rename Account Owner to Sales Owner in list view. Also in other places in UI. 
3. Remove Shipping section as everything is covered in addresses. There is only one set of fields under Shipping Instruction are needed. Move that line to Billing Section. Call the Billing Details as Billing and Shipping Details ",P0,Done,Shivananda Sai,,Other,"Mar 28, 2026","Requirement changed : It should be “Customer Details”

image (15).png",Dipak Majhi,"Mar 27, 2026"
Accounts,Account Credit Sync - Remigration,Re-migrate credit info again.,P0,Done,Nagababu Guddati,Data,Data,"Mar 26, 2026",,Sai Nagboth,"Mar 25, 2026"
Accounts,Account sync gaps,"Validate the following. All items are monitored here CHP-5577

1. Payment Terms  ✅ 
2. Approved as customer and approved as supplier  ✅ 
3. Our Supplier Code, Our Customer Code ✅ 
4. Customer Number and Supplier Number ✅ 
5. Address sync - when adding a new address it is disappearning (e.g., ) ✅ 



Complained by user - Payment Terms, Tax Rates, Shipping Account Number, and INCO Terms are not transferring correctly from xCRM to Apex. ✅ ",P0,On Production,"Srinidhi Gundimi,Pranab Dutta",Sync,Sales,"Mar 26, 2026",,Sai Nagboth,"Mar 25, 2026"
Accounts,Account Duplication,"When Apex account is created it is getting duplicated. Here are two examples shared by users.

image.png

image.png



Seems to be issue with UI sending multiple requests if the user clicks twice. UI change made to disable create button after first attempt.



Needs to find duplicates to clean.",P1,On Production,Om Sreenivasan,"Sync,UI",Sales,"Apr 22, 2026","[Pranab] Seems to be issue with UI sending multiple requests if the user clicks twice. UI change made to disable create button after first attempt.

QE comments 06/05 : create button is disabled on first attempt",Sai Nagboth,"Apr 21, 2026"
Accounts,All Accounts Improvments,"  Improve all accounts to do the following

1. Open Accounts
  1. Same view as All Accounts except only show accounts not assigned (look for account management buckets). Review the filters.❌
  2. For now we will filter accounts where the owners are account management bucket + no sales owners. Later we will remove the account management buckets. (We could also acheive this via a new data group)❌
2. Feedback on Apri 21
  1. Can we default the assignee to follow based on the Region or Country as following.❌
    1. Mason Heidarizad - If region US
    2. Koen de Graaf - If country as  Netherlands
    3.  Fabiano Idelfonso - If country as Italy
    4. Uri Vergouw - If country is China
    5. Michi Sham - If country is Singapore
    6. Arif Arifi  - If region is Germany",P0,On Production,"Shivananda Sai,Andrey Kuznetcov","UI,BE",Sales,"Apr 17, 2026",,Sai Nagboth,"Apr 16, 2026"
Accounts,Requirement Source Sync,"Sales receive different GP levels based on the Requirement Source they enter. However, I have observed the following issue: 

Even when “Email – not related to WebRFQ” is selected and saved in APEX, the order is sent to xCRM, where the source is automatically changed to “MyChip1.”  - ✅ (https://chip1.xchangecrm.com/web/sales/so/update?ID=207266&SO_CODE_=0&COMPANY_CODE_=4)

If any updates are later made in xCRM and saved, the order is synced back to APEX, and the source is again overwritten to “MyChip1.” 

The problem is that when the Requirement Source is set to MyChip1 (or other sources like WebRFQ, Digipart, etc.), Sales receive little or no GP. 
They only receive the correct GP when the source is “Email – not related to WebRFQ.” 

As a result, Sales are becoming increasingly concerned, especially since we are not able to correct the Requirement Source after the order has been saved. 

 

https://crm.chip1.com/sales/orders/69dce85aa48d367506cff3c4",P0,Done,"Pranab Dutta,Abhinay Sharma","Sync,Data",Sales,"Apr 22, 2026",,Dipak Majhi,"Apr 21, 2026"
Accounts,Account Stage,Many accounts are not in sync in terms of stage.  Might need re-sync and also check the logic of setitng up.,P0,Done,"Nagababu Guddati,Andrey Kuznetcov",Data,"Data,Sales","Mar 27, 2026",,Sai Nagboth,"Mar 25, 2026"
Accounts,Account country,"Users are complaining that some reason, account country seems to be mapped wrongly in some cases. 

Please see if we can somehow validate this via our compare tables?



E.g., Katek GMBH



Upon further analysis found that Katek has 3 accounts that are outside of Germany but do not have any mapping to xCRM. Not sure if they are test accounts some created or migrated. IDs are

https://crm.chip1.com/accounts/68b940096b377569c9c679c7https://crm.chip1.com/accounts/68b9400c6b377569c9c679c8

https://crm.chip1.com/accounts/689fbac399c26f4c334d4df9",P0,Done,"Nagababu Guddati,Satish Bathini,Pranab Dutta",Data,Data,,,Sai Nagboth,"Mar 25, 2026"
Accounts,Missing Contacts for split accounts,"Looks like when we have split accounts, we have contacts associated with one but not with other split account. We need to associate the contacts with both. Something to look into.

 

US Account (did. not have contacts, I added one) - https://apex.chip1.com/accounts/685c2362974ede7353a86957/contacts

Germany account (has contacts) - https://apex.chip1.com/accounts/67320f6c3dc405192b0286de/contacts



Solution

1. Copy contacts for all split supplier accounts that are in following categories
  1. Broker
  2. IND SD
  3. FD
  4. Pref. IND

There is a second part of the solution that I will outline separately",P0,Done,"Srinivas Sanka,Nagababu Guddati",Data,Data,"Apr 21, 2026",,Sai Nagboth,"Apr 14, 2026"
Accounts,Supplier Data Groups," Split supplier data into two buckets. One tha everyone can see the other only manager can see

1. Region Supplier → The current data groups. But needs to contain only suppliers in the category Broker, IND SD, FD and Pref.  IND
2. Region Restricked Supplier → The suppliers who do not have category of above (Broker, IND SD, FD and Pref.  IND)
3. Access to first one is given to all purchasing users
4. Access to second one is only to managers or buyers who are assigned to those accounts (this should happen naturally)",P0,On Production,"Srinivas Sanka,Nagababu Guddati",Data,Data,"Apr 23, 2026",,Sai Nagboth,"Apr 19, 2026"
Accounts,User IDs wrong in accounts,Some accounts have user ids as crm ids vs. apex ids. This is causing the SOs created against them also carry these user ids and in turn causing issues with crm sync.,P0,Done,"Nagababu Guddati,Srinivas Sanka",Data,Data,"Apr 24, 2026",,Sai Nagboth,"Apr 23, 2026"
Accounts,Account Summary Details,"Accounts > Customer > Details




Individual Accordion Summary:

Move ‘Pay Terms’ from ‘Billing and Shipping Details’ to ‘Credit Information’ (Remove ‘Has Credit Insurance’ field from accordian summary).

Keep ‘Shipping Method’ in place of ‘Pay Terms’ in ‘Billing and Shipping Details’.

Change billing and shipping details to Customer Details

remove the tax rate from summary line",P0,Done,Shivananda Sai,UI,Sales,"Apr 2, 2026",,Dipak Majhi,"Apr 1, 2026"
Contacts,Default the view to Active list,"Default the contact list view to “Active” tab vs. “All ✅

Canny Item",P1,Done,Vinay Bajjuri,UI,Sales,,,Sai Nagboth,"Mar 2, 2026"
Contacts,Contact Create,"1. When adding contact. Problem with phone # (Canny Item)
2. Contact source and Language preferences are not getting populated.
3. When created an contact from account, pre-populate website, address and any other stuff that is already on account.
4. After phone # is entered, next selecting country code erases phone number. ",P1,Done,Vinay Bajjuri,UI,Sales,,,Satish Bathini,"Mar 3, 2026"
Contacts,Contact Details,"Name is needed, Phone or email are required. Address fields should not be mandatory while adding contact.

Canny Item",P0,Done,Vinay Bajjuri,UI,Sales,,,Satish Bathini,"Mar 4, 2026"
Contacts,"Create Contact ","1. Change Stage label → Status
2. Add default value as Lead for Status
3. Change the positing of status ",,Done,Vinay Bajjuri,UI,Sales,,,Vinay Bajjuri,"Mar 6, 2026"
Contacts,Contact activity update,When recording an activity on contact we need to make sure to update the last activity date for associated account,P1,Done,Tejaswini Allagadda,BE,Sales,,,Sai Nagboth,"Mar 5, 2026"
Contacts,Contacts Migration,Process the rest of the pending contacts.,P1,Done,Satish Bathini,Data,Data,,,Sai Nagboth,"Mar 5, 2026"
Contacts,Enable bulk contacts,Enable capability to upload bulk contacts.,P1,On Production,Alex Yermakov,UI,Sales,,"18/03: Parsing error while pasting any contact in bulk upload box. No help text regarding the supported format for copy&paste bulk contacts.

error 1

error 2

error 3",Sai Nagboth,"Mar 8, 2026"
Contacts,Outreach integration,"1. Add a tag that it has been added to an out reach campaign. 
2. Allow view of out reach history for a given contact
3. Have outreach set behind campaign list and detail view behind permission

Please take input from Sandeep on permission",P1,Done,"Shivananda Sai,Sandeep Thatikonda",UI,Sales,,,Sai Nagboth,"Mar 13, 2026"
RFQ List View,Contacts → RFQ,"Small tweaks-

1. Make sure the column selector/updator is enabled✅
2. Show Sales person and any other columns missing from the core sales person view.✅
3. Also review if any other RFQs are not having Salesperson and add it to view.

Canny Item",P0,Done,Vinay Bajjuri,UI,Sales,"Mar 3, 2026",,Sai Nagboth,"Mar 2, 2026"
RFQ List View,Contacts → RFQ list view,"Add ICP name on RFQs

Canny Item",P1,Done,Arvind Dhakar,UI,Sales,,,Satish Bathini,"Mar 3, 2026"
RFQ List View,Opportunity,"Implement a new flow for oppournities as per the ticket CHP-5495

cc Sandeep Thatikonda  - Need BE change for this. UI In Progress. ",P1,Done,Vinay Bajjuri,UI,Sales,,18/03:  Needs some more fixes. Updated ticket.,Sai Nagboth,"Mar 6, 2026"
RFQ List View,Opportunity flow - BE changes,"Make changes for opportunities BE as defiend in CHP-5495 - Done

Validate the Opportunities flowing from xCRM - Done",P1,Done,Srinidhi Gundimi,UI,Sales,,,Sai Nagboth,"Mar 10, 2026"
RFQ List View,Oppotunity flow validation,"Validate the flow of opportunities from xCRM to Apex and the flow internally

1. The inbound sync is not enabled.
2. It requires the Connect & BE code change to save the opportunity account & contact info.",P1,On Production,"Pranab Dutta,Srinidhi Gundimi",BE,Sales,,21/04: Link,Sai Nagboth,"Mar 10, 2026"
RFQ List View,Improvements to opportunity flow,"Implement as per CHP-5599

",P0,On Production,,"BE,UI",Sales,,,Sai Nagboth,"Apr 13, 2026"
RFQ List View,Common list view filters,"Add following gneraal filters to RFQ, SO, PO 

1. Manufacturer
2. Region",P1,Done,Arvind Dhakar,UI,Sales,,,Sai Nagboth,"Mar 8, 2026"
RFQ Entity,Qoute Details & PDF,Complete creation of PDF by closing the necessary gaps of fields for PDF generation CHP-3813,P0,Done,Srinidhi Gundimi,BE,Sales,,,Sai Nagboth,"Mar 1, 2026"
RFQ Entity,RFQ Details,"1. Add the fields RoHS, Category and Supplier Package. Similar to ECCN/HTSUSA these values should be auto-populated from Silicon expert but made editable for the users to add/change the data. For outbound mapping to xCRM - map it to dash (placeholder). For inbound whatever updates done in xCRM should be reflected here.✅
2. RoHS value should be a picked from what we display in the side pane. Example 2002/95/EC for JG927A✅
3. Add a checkbox below ECCN US and EU ECCN. ✅
4. If it is selected it should be mapped to Yes in xCRM ❌
5. Add Supplier Package Quantity next to Max Quantity✅
6. Add Blank Label as an to Label Preferences✅",,Done,"Vinay Bajjuri,Srinidhi Gundimi",,Sales,,18/03: #3 is not working. Not syncing to xcrm ‘Dual Use’,Sai Nagboth,"Mar 1, 2026"
RFQ Entity,Send Quote email,Ability to send quote email,,Done,Nikhil Kumar Singh,BE,Sales,,,Sai Nagboth,"Mar 1, 2026"
RFQ Entity,Add new RFQ Line,"Allow a user to add a new line to existing RFQ.

1. Add a fab action for “Add RFQ Line” that appears on RFQ if the status is open.
2. In the UI, use the same view as create, except for take out the account and contact piece and show RFQ pieces. Keep the add new RFQ line as an option. 
3. Issue a patch to RFQ vs. post in Ceate



",P0,Done,Vinay Bajjuri,UI,Sales,"Mar 3, 2026",,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,Support for adding RFQ line,"Add support for adding a new RFQ line to an existing RFQ. UI is in place but backend is failing. Need to check,",P0,Done,Tejaswini Allagadda,BE,Sales,,Quote not syncing. Dev fix in progress.,Sai Nagboth,"Mar 3, 2026"
RFQ Entity,Support Filter for Manufacturer,"Support Filter for Manufacturer for RFQ and SO ",P1,Done,Tejaswini Allagadda,BE,,,,Sandeep Thatikonda,"Mar 10, 2026"
RFQ Entity,Create RFQ,If a contact does not have phone do not allow it to be selected during RFQ creation. Show an error message saying phone number and contact are mandatory for RFQ. ✅,P0,Done,Vinay Bajjuri,UI,Sales,,,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,Updates to Details,"Account Info

1. Change Account Owner/Salesperson to just Salesperson.✅
2. In the available roles for add users, we should take out the option of “Account Owner/Salesperson” as there can be only one that is defined separately. Only additional roles can be added.✅

Opporutnity & Requirements, small tweaks

1. Add a new market condition dropdown (BE Support) with lookup values as per CHP-5185 to second line. ✅
2. The fileds in second line would be Customer part #, Need By, Expires On, Lead Time and Market condition. The date fields can be reduced in size.✅
3. Under required part info, move Qty needed, min and max qty to 3rd line. Remove target price from here as it is in pricing section.✅

Pricing small tweaks

1. Move Market price to a single line and next to Target price. Reduce the width of the columns✅",P0,Done,Vinay Bajjuri,UI,Sales,,,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,Quote PDF,Fix the gaps in Quote PDF as per CHP-3813,P0,Done,Srinidhi Gundimi,BE,Sales,,,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,RFQ isClosed/Expiry Logic,"For RFQ when expired, do not update status as closed instead just update isClosed.
Also do not auto update RFQ to isclosed for SO Created. We will do it as part of the expiry job or 7 days after status date.",P1,Done,Tejaswini Allagadda,BE,Sales,,,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,RFQ status views,"In list view, detailed view, info pane when RFQ is closed. Change the color of status bar to Grey vs. Purple✅",P1,Done,Vinay Bajjuri,UI,Sales,,,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,Send Quote Email,"Enable sending quote email. The UI can be similar to what is done for share project. Design might provide some inputs. See here. Looks like BE is ready (Check with Nikhil on API).



On BE, things to validate

1. The email should go out as the user who is sending the quote.",P1,Done,Nikhil Kumar Singh,UI,Sales,,"18/03: Failing to send quote.
{""status"":404,""message"":""File was not found"",""errorCode"":""FU_001""}",Sai Nagboth,"Mar 2, 2026"
RFQ Entity,RFQ Create,"When entering in a REQ All the accounts in CRM are available ✅

Canny Item",P1,Done,Andrey Kuznetcov,,Sales,,,Sai Nagboth,"Mar 2, 2026"
RFQ Entity,Contact edit on create,"Make email and phone number editable during RFQ creation and SO Creation https://app.clickup.com/t/8651091/CHP-5513 We need to update the Contact API. ",P1,Done,Vinay Bajjuri,UI,Sales,,,Sai Nagboth,"Mar 8, 2026"
RFQ Entity,Generate Quote - FAB,"Once our Quote generation piece is ready then we need to add this. 

1. Add FAB options for Quote to generate PDF. This can be done at line level which includes only one line or at RFQ level which includes multiple lines
2. Do this at RFQ line level. 
3. Allow selection of one or more lines to generate PDF.
4. Allow user to provide a name for the quote document. The default can be the ID of the quote. ",P1,Done,Vinay Bajjuri,UI,Sales,,,Sai Nagboth,"Mar 8, 2026"
RFQ Entity,RFQ Status Update,Allow Users to manually change the status of an RFQ to any Status from the FAB Action.,P1,Done,Shivananda Sai,UI,Sales,,,Dipak Majhi,"Mar 25, 2026"
RFQ Entity,Quote PDF gaps,"1. Two bugs: Totalling issue in quote, Currency missing from prices
2. Prices to be kept to 2 decimal places (by default)
3. There was a lot of data inconsistency in terms of addresses, quote details, - QE team to Test it filling up all the details in both platforms. 
4. Bank information and Terms of Sales as per region should be mentioned accordingly at the end of the pdfs. (without highlight)
5. MOQ as a field to be added",P0,On Production,"Srinidhi Gundimi,Nikita Ivanchenko",BE,Sales,"Mar 25, 2026",,Sai Nagboth,"Mar 23, 2026"
RFQ Entity,RFQ Status,"Refine the RFQ Statuses as per Statuses document

1. We need to display the sub statuses in the UI. 
2. Combine Quotes Created and Quoted into Quote Created and have the different sub statuses
3. Add a Sub Status and Notes field in the FAB. 
4. Display either SO Created or Closed. No need to display Closed in the default view. Only if an RFQ has a closed status, we need to display that.  ",,Done,"Vinay Bajjuri,Srinidhi Gundimi","UI,BE",Sales,,"#2 → No change required
#3 → Notes field not present",Om Sreenivasan,"Mar 10, 2026"
RFQ Entity,Quote Create Flow,"Similar to RFQ Create modal - Have an ‘’Additional Information” expandable section with the below fields

1. Add Labels drop-down (Blank Label, Black Labels, Partial reels, Missing Mfr) 
2. Add Warranty Accepted by Sales
3. Add  Part Condition Accepted by Sales
4. Mandatory fields in xCRM are missed - needs review 

",P1,Done,Vinay Bajjuri,,Sales,,"Validated #1, #2, #3. Keeping it open for #4",Om Sreenivasan,"Mar 10, 2026"
